gamesPlayed,goals,assists,points,penaltyMinutes,class
1,0,0,0,0,Forward
3,1,0,1,2,Forward
3,4,0,4,0,Forward
4,2,0,2,3,Forward
5,1,3,4,0,Forward
4,0,0,0,0,Defense
3,6,0,6,0,Forward
5,2,0,2,6,Forward
4,6,1,7,14,Forward
5,0,2,2,6,Defense
3,7,3,10,3,Forward
5,9,0,9,15,Forward
3,0,1,1,5,Forward
5,2,1,3,12,Forward
5,0,0,0,0,Forward
5,0,0,0,0,Forward
2,0,0,0,2,Defense
5,2,0,2,6,Forward
3,0,0,0,3,Forward
5,0,0,0,0,Goalie
4,0,0,0,0,Goalie
5,0,0,0,0,Goalie
4,0,0,0,0,Goalie
4,0,0,0,0,Goalie
3,1,0,1,3,Forward
4,1,2,3,0,Forward
5,3,0,3,9,Forward
5,1,3,4,0,Forward
4,4,2,6,0,Forward
4,0,0,0,0,Forward
3,3,0,3,15,Forward
4,1,2,3,0,Forward
5,1,3,4,6,Forward
2,0,0,0,2,Forward
2,0,0,0,0,Goalie
