gamesPlayed,goals,assists,points,penaltyMinutes,class
4,0,0,0,0,Forward
5,2,1,3,6,Forward
5,6,1,7,18,Forward
2,0,0,0,2,Forward
4,1,0,1,10,Forward
1,0,0,0,0,Forward
5,2,0,2,3,Forward
4,3,0,3,8,Forward
2,0,0,0,0,Forward
5,0,0,0,0,Forward
3,0,0,0,0,Forward
3,0,0,0,0,Goalie
5,0,0,0,0,Goalie
5,0,0,0,0,Goalie
6,0,0,0,2,Goalie
4,0,0,0,0,Goalie
2,0,0,0,0,Defense
2,0,0,0,0,Forward
4,0,0,0,0,Forward
5,1,1,2,0,Forward
1,0,0,0,0,Defense
2,1,0,1,0,Defense
4,5,1,6,6,Forward
4,1,1,2,13,Forward
3,0,0,0,0,Forward
4,2,0,2,0,Forward
2,1,1,2,2,Forward
5,2,0,2,2,Defense
5,2,0,2,9,Defense
6,2,1,3,6,Defense
1,0,0,0,0,Forward
3,3,0,3,9,Forward
4,0,0,0,3,Forward
4,2,0,2,0,Forward
6,6,1,7,12,Forward
4,1,0,1,20,Forward
5,0,0,0,0,Forward
5,0,0,0,0,Forward
4,0,0,0,0,Forward
2,1,0,1,4,Defense
5,3,1,4,0,Defense
4,0,2,2,11,Defense
2,0,0,0,0,Forward
4,0,0,0,3,Defense
4,0,0,0,0,Forward
6,1,0,1,4,Defense
5,2,0,2,9,Forward
4,0,1,1,0,Forward
4,0,0,0,0,Forward
5,0,1,1,4,Defense
5,1,2,3,0,Defense
4,2,1,3,2,Defense
4,0,0,0,2,Defense
3,3,0,3,9,Defense
5,2,0,2,12,Defense
5,2,0,2,20,Defense
5,1,0,1,6,Defense
4,0,1,1,4,Defense
2,0,0,0,4,Defense
5,0,1,1,32,Defense
4,2,1,3,3,Defense
5,0,1,1,3,Defense
2,0,0,0,0,Defense
2,0,0,0,0,Forward
1,0,0,0,0,Forward
4,0,0,0,36,Defense
5,0,1,1,0,Defense
4,0,0,0,0,Defense
4,1,0,1,10,Defense
3,3,0,3,19,Forward
2,0,0,0,0,Forward
2,3,0,3,6,Forward
5,5,2,7,3,Forward
5,5,0,5,12,Forward
2,1,0,1,7,Forward
